cid,nlane,turn,dnroad,geom,len,Up_Node,Down_Node,is_in,Count,Count1
4440_4497,3,R#U#S#L,4497_4415#4497_4440#4497_4526#4497_4536,"LINESTRING (118.751056271 30.9209090950001, 118.751191433 30.920961371, 118.752246648 30.92134672, 118.752827484 30.9215177930001, 118.75335601 30.921665712, 118.754085295 30.921819854, 118.754786697 30.9219624400001, 118.756260227 30.9221422540001, 118.75744583 30.9222782470001, 118.758355406 30.922453773, 118.758758509 30.922552674, 118.75941962 30.9227613960001, 118.759952493 30.922956948, 118.760632432 30.923248915, 118.761156683 30.9235400170001, 118.76200405 30.9240951310001, 118.762639737 30.924614354, 118.763323132 30.925282044, 118.764629799 30.926687842)",1500.564176,4440,4497,1.0,4175.0,4176.0
4471_4440,0,S#U#R,4440_4497#4440_4471#4440_9054,"LINESTRING (118.733407433 30.9240550690001, 118.734310609 30.9233124090001, 118.735372673 30.922546583, 118.736515666 30.921857205, 118.737026251 30.9215878910001, 118.737729594 30.9212652840001, 118.738282375 30.92103417, 118.738567492 30.9209229690001, 118.739299464 30.9206536520001, 118.740076934 30.9204135430001, 118.740786416 30.920239958, 118.742130152 30.919941511, 118.743308737 30.9196929940001, 118.744039987 30.919575766, 118.744938053 30.9195010170001, 118.745906696 30.919502853, 118.746710741 30.9195844490001, 118.747501603 30.9197020070001, 118.748276368 30.919885391, 118.748843465 30.920062633, 118.749470389 30.920295729, 118.751056271 30.9209090950001)",1850.933552,4471,4440,1.0,4176.0,4176.0
4471_4493,3,L#U#S,4493_4521#4493_4471#4493_4562,"LINESTRING (118.733407433 30.9240550690001, 118.734085126 30.924651302, 118.736351565 30.9267130750001)",407.4714252,4471,4493,1.0,4175.0,4176.0
4493_4521,0,S#U#L,4521_4605#4521_4493#4521_4539,"LINESTRING (118.736351565 30.9267130750001, 118.736408336 30.927638028, 118.736549416 30.9297011730001, 118.736583455 30.930185931)",385.6683181,4493,4521,1.0,4175.0,4175.0
4496_4471,3,S#L#R#U,4471_4440#4471_4493#4471_4423#4471_4496,"LINESTRING (118.729294252 30.9269730350001, 118.731242182 30.9256231740001, 118.733407433 30.9240550690001)",509.156974,4496,4471,1.0,4176.0,4160.0
4496_4539,0,R#S#U#L,4539_4521#4539_4616#4539_4496#4539_4565,"LINESTRING (118.729294252 30.9269730350001, 118.730355802 30.9283631810001, 118.731660874 30.9305026070001, 118.732547421 30.932228223)",661.7505156,4496,4539,1.0,4175.0,4160.0
4518_4496,3,S#L#R#U,4496_4471#4496_4539#4496_4448#4496_4518,"LINESTRING (118.725067125 30.9299801010001, 118.726605924 30.928870429, 118.728911826 30.927238038, 118.729294252 30.9269730350001)",523.813777,4518,4496,1.0,4160.0,4173.0
4518_4565,3,R#S#U#L,4565_4539#4565_4603#4565_4518#4565_4608,"LINESTRING (118.725067125 30.9299801010001, 118.726010386 30.931282481, 118.726430535 30.9318729620001, 118.72651071 30.9319856390001, 118.726921883 30.9325634940001, 118.727864744 30.9338941870001, 118.728212366 30.9343747550001)",572.4991822,4518,4565,1.0,4174.0,4173.0
4521_4605,4,L#S#U#R,4605_4616#4605_4671#4605_4521#4605_4589,"LINESTRING (118.736583455 30.930185931, 118.736694786 30.931771417, 118.736906635 30.936118166)",658.4437567,4521,4605,1.0,4175.0,4175.0
4526_4497,3,L#S#U#R,4497_4415#4497_4440#4497_4526#4497_4536,"LINESTRING (118.773466815 30.928929752, 118.77212182 30.92855752, 118.77061844 30.92818737, 118.769015008 30.927974819, 118.7672697 30.92774346, 118.76682043 30.92765093, 118.766216934 30.927481949, 118.765608072 30.9272378680001, 118.765085042 30.9269776940001, 118.764629799 30.926687841)",889.0404489,4526,4497,1.0,4175.0,4158.0
4526_9001,2,S#U#L#R,9001_4579#9001_4526#9001_4563#9001_8356,"LINESTRING (118.773466815 30.928929752, 118.778407789 30.930601649)",507.3058396,4526,9001,1.0,4159.0,4158.0
4536_4497,3,S#R#L#U,4497_4415#4497_4440#4497_4526#4497_4536,"LINESTRING (118.757300215 30.931603098, 118.757530928 30.9313472580001, 118.757902552 30.931046727, 118.758067005 30.930913735, 118.758556073 30.9306151210001, 118.759936707 30.9297724570001, 118.761048599 30.929074846, 118.762405441 30.9282178930001, 118.763637922 30.927423204, 118.764629799 30.926687842)",889.4636169,4536,4497,1.0,4175.0,4066.0
4536_4562,5,L#S#U#R,4562_4493#4562_4589#4562_4536#4562_4651,"LINESTRING (118.757300215 30.931603098, 118.756105555 30.931653268, 118.755353633 30.9316848490001, 118.752234684 30.9317832690001, 118.750291375 30.931877666, 118.748622266 30.9319864720001, 118.747742133 30.932121555, 118.746631668 30.9324004690001, 118.746265304 30.9325332650001, 118.745232483 30.932907626, 118.744551331 30.9331701630001)",1242.893758,4536,4562,1.0,4176.0,4066.0
4539_4521,0,L#R#U,4521_4605#4521_4493#4521_4539,"LINESTRING (118.732547421 30.932228223, 118.732589726 30.9322051140001, 118.734519845 30.9311842880001, 118.735778405 30.9305279600001, 118.736195729 30.930341024, 118.736583455 30.930185931)",447.5862093,4539,4521,1.0,4175.0,4175.0
4539_4616,2,L#U#R#S,4616_4630#4616_4539#4616_4605#4616_8362,"LINESTRING (118.732547421 30.932228223, 118.733219592 30.933810597, 118.733576508 30.934937706, 118.733605413 30.935016841, 118.733960869 30.935990003, 118.734355454 30.937019531)",558.8818795,4539,4616,1.0,4174.0,4175.0
4554_4526,3,R#L#S#U,4526_4497#4526_9001#4526_9014#4526_4554,"LINESTRING (118.768301862 30.9326119150001, 118.768641998 30.9316761270001, 118.768808561 30.931447699, 118.769333628 30.9308182520001, 118.769925742 30.9303725930001, 118.773466815 30.928929752)",674.0519479,4554,4526,1.0,4158.0,4176.0
4554_4536,0,L#S#U#R,4536_4497#4536_4562#4536_4554#4536_4635,"LINESTRING (118.768301862 30.9326119150001, 118.766832295 30.932299314, 118.764249517 30.9318335140001, 118.763150534 30.931600927, 118.761996977 30.931450113, 118.761248224 30.9314603170001, 118.758327806 30.9315599330001, 118.758015594 30.931573046, 118.757300215 30.931603098)",1065.732237,4554,4536,1.0,4066.0,4176.0
4556_4518,3,S#L#U#R,4518_4496#4518_4565#4518_4556#4518_4582,"LINESTRING (118.720366092 30.9333274580001, 118.720713595 30.933091615, 118.721901003 30.932250417, 118.722910351 30.931535341, 118.725067125 30.9299801010001)",582.7586272,4556,4518,1.0,4173.0,4161.0
