target,source,neighbor1,neighbor2,neighbor3
4440,4471,4497,,
4440,4497,4471,,
4471,4496,4493,4440.0,
4471,4440,4496,4493.0,
4471,4493,4496,4440.0,
4493,4471,4521,4562.0,
4493,4562,4521,4471.0,
4493,4521,4471,4562.0,
4496,4518,4471,4539.0,
4496,4471,4518,4539.0,
4496,4539,4471,4518.0,
4497,4440,4526,4536.0,
4497,4526,4536,4440.0,
4497,4536,4526,4440.0,
4518,4556,4496,4565.0,
4518,4496,4565,4556.0,
4518,4565,4556,4496.0,
4521,4493,4539,4605.0,
4521,4539,4493,4605.0,
4521,4605,4493,4539.0,
4526,4554,4497,9001.0,
4526,4497,9001,4554.0,
4526,9001,4554,4497.0,
4536,4554,4635,4497.0,4562.0
4536,4635,4562,4497.0,4554.0
4536,4497,4554,4635.0,4562.0
4536,4562,4635,4554.0,4497.0
4539,4496,4616,4521.0,4565.0
4539,4565,4616,4521.0,4496.0
4539,4521,4565,4616.0,4496.0
4539,4616,4496,4521.0,4565.0
4554,4563,4536,4526.0,4634.0
4554,4634,4563,4526.0,4536.0
4554,4526,4563,4536.0,4634.0
4554,4536,4526,4634.0,4563.0
4556,4607,4608,4518.0,
4556,4518,4607,4608.0,
4556,4608,4518,4607.0,
4562,4536,4493,4651.0,4589.0
4562,4651,4493,4589.0,4536.0
4562,4493,4589,4536.0,4651.0
4562,4589,4536,4493.0,4651.0
4563,4615,4554,4642.0,9001.0
4563,4554,4615,4642.0,9001.0
4563,4642,4554,9001.0,4615.0
4563,9001,4554,4642.0,4615.0
4565,4518,4608,4539.0,4603.0
4565,4608,4539,4518.0,4603.0
4565,4539,4518,4608.0,4603.0
4565,4603,4539,4608.0,4518.0
4579,4615,9001,,
4579,9001,4615,,
4589,4562,4660,4605.0,
4589,4660,4605,4562.0,
4589,4605,4562,4660.0,
4603,4565,4630,4624.0,
4603,4624,4630,4565.0,
4603,4630,4624,4565.0,
4605,4521,4589,4616.0,4671.0
4605,4589,4616,4521.0,4671.0
4605,4616,4589,4521.0,4671.0
4605,4671,4521,4589.0,4616.0
4607,4645,4556,,
4607,4556,4645,,
4608,4556,4624,4565.0,
4608,4565,4624,4556.0,
4608,4624,4556,4565.0,
4615,4663,8364,4579.0,4563.0
4615,8364,4563,4579.0,4663.0
4615,4563,4579,4663.0,8364.0
4615,4579,4563,4663.0,8364.0
4616,4539,4630,4605.0,
4616,4605,4630,4539.0,
4616,4630,4539,4605.0,
4624,4608,4603,4650.0,4655.0
4624,4650,4603,4655.0,4608.0
4624,4655,4650,4603.0,4608.0
4624,4603,4608,4650.0,4655.0
4630,4603,4650,4616.0,4680.0
4630,4616,4603,4650.0,4680.0
4630,4650,4680,4603.0,4616.0
4630,4680,4603,4616.0,4650.0
4634,4642,4554,4664.0,4732.0
4634,4732,4664,4554.0,4642.0
4634,4554,4642,4732.0,4664.0
4634,4664,4732,4554.0,4642.0
4635,4651,4664,4536.0,
4635,4536,4651,4664.0,
4635,4664,4651,4536.0,
4642,4563,4634,4663.0,
4642,4663,4634,4563.0,
4642,4634,4663,4563.0,
4645,4802,4607,4666.0,
4645,4607,4666,4802.0,
4645,4666,4802,4607.0,
4650,4630,4624,4708.0,4690.0
4650,4708,4690,4630.0,4624.0
4650,4624,4690,4630.0,4708.0
4650,4690,4630,4624.0,4708.0
4651,4662,4562,4635.0,4697.0
4651,4697,4562,4635.0,4662.0
4651,4562,4635,4697.0,4662.0
4651,4635,4562,4697.0,4662.0
4655,4674,4624,4690.0,
4655,4624,4674,4690.0,
4655,4690,4624,4674.0,
4660,4671,4589,4689.0,
4660,4689,4589,4671.0,
4660,4589,4689,4671.0,
4662,4689,4694,4651.0,
4662,4694,4689,4651.0,
4662,4651,4694,4689.0,
4663,4745,4642,4615.0,
4663,4615,4745,4642.0,
4663,4642,4615,4745.0,
4664,4634,4724,4635.0,
4664,4635,4724,4634.0,
4664,4724,4634,4635.0,
4666,4645,4713,,
4666,4713,4645,,
4671,4605,4819,4660.0,4680.0
4671,4680,4819,4605.0,4660.0
4671,4660,4819,4605.0,4680.0
4671,4819,4660,4680.0,4605.0
4674,4713,4655,4742.0,
4674,4655,4713,4742.0,
4674,4742,4655,4713.0,
4680,4630,4671,4708.0,4855.0
4680,4708,4671,4855.0,4630.0
4680,4671,4708,4855.0,4630.0
4680,4855,4671,4630.0,4708.0
4689,4694,4662,4660.0,4819.0
4689,4819,4660,4694.0,4662.0
4689,4660,4662,4694.0,4819.0
4689,4662,4694,4660.0,4819.0
4690,4650,4742,4655.0,
4690,4655,4742,4650.0,
4690,4742,4650,4655.0,
4694,4697,4662,4808.0,4689.0
4694,4808,4662,4689.0,4697.0
4694,4662,4697,4689.0,4808.0
4694,4689,4662,4697.0,4808.0
4697,4706,4694,4651.0,4806.0
4697,4806,4694,4706.0,4651.0
4697,4651,4706,4806.0,4694.0
4697,4694,4806,4706.0,4651.0
4706,4724,4697,4835.0,
4706,4835,4697,4724.0,
4706,4697,4724,4835.0,
4708,9173,4650,4680.0,
4708,4650,9173,4680.0,
4708,4680,9173,4650.0,
4713,4666,4674,4794.0,
4713,4674,4794,4666.0,
4713,4794,4666,4674.0,
4724,4664,4863,4706.0,4732.0
4724,4732,4664,4863.0,4706.0
4724,4863,4706,4732.0,4664.0
4724,4706,4664,4732.0,4863.0
4732,4745,4634,4881.0,4724.0
4732,4881,4745,4724.0,4634.0
4732,4634,4724,4881.0,4745.0
4732,4724,4881,4634.0,4745.0
4742,4674,4690,4794.0,
4742,4690,4794,4674.0,
4742,4794,4690,4674.0,
4745,4758,4732,4663.0,
4745,4663,4758,4732.0,
4745,4732,4758,4663.0,
4758,4779,4832,8363.0,4745.0
4758,8363,4745,4779.0,4832.0
4758,4745,8363,4779.0,4832.0
4758,4832,8363,4745.0,4779.0
4779,4758,4852,8364.0,
4779,4852,4758,8364.0,
4779,8364,4852,4758.0,
4794,4713,4899,4742.0,9173.0
4794,4742,9173,4899.0,4713.0
4794,4899,4742,4713.0,9173.0
4794,9173,4899,4742.0,4713.0
4802,4895,4645,,
4802,4645,4895,,
4806,4835,4697,4927.0,4808.0
4806,4927,4697,4808.0,4835.0
4806,4697,4835,4808.0,4927.0
4806,4808,4697,4927.0,4835.0
4808,4806,4893,4694.0,
4808,4893,4694,4806.0,
4808,4694,4893,4806.0,
4819,4671,4855,4689.0,4879.0
4819,4855,4689,4879.0,4671.0
4819,4689,4671,4879.0,4855.0
4819,4879,4855,4671.0,4689.0
4832,4758,8365,4852.0,4918.0
4832,4852,4758,4918.0,8365.0
4832,8365,4758,4918.0,4852.0
4832,4918,4852,8365.0,4758.0
4835,4854,4706,4944.0,4806.0
4835,4944,4854,4706.0,4806.0
4835,4706,4854,4944.0,4806.0
4835,4806,4706,4854.0,4944.0
4852,4779,4942,4832.0,
4852,4832,4942,4779.0,
4852,4942,4832,4779.0,
4854,4863,4961,4835.0,
4854,4835,4863,4961.0,
4854,4961,4835,4863.0,
4855,4680,4819,4920.0,
4855,4920,4819,4680.0,
4855,4819,4680,4920.0,
4863,4881,4854,4904.0,4724.0
4863,4904,4854,4881.0,4724.0
4863,4724,4854,4904.0,4881.0
4863,4854,4724,4881.0,4904.0
4879,4819,4893,4938.0,
4879,4893,4819,4938.0,
4879,4938,4893,4819.0,
4881,4732,4863,,
4881,4863,4732,,
4893,4879,4808,4907.0,4927.0
4893,4907,4927,4808.0,4879.0
4893,4808,4907,4879.0,4927.0
4893,4927,4808,4907.0,4879.0
4895,5105,4972,4802.0,
4895,4802,4972,5105.0,
4895,4972,4802,5105.0,
4899,4794,4972,,
4899,4972,4794,,
