target,source,neighbor1,neighbor2,neighbor3,target_lon,target_lat,source_lon,source_lat
4440,4471,4497,,,118.751056271,30.9209090950001,118.733407433,30.9240550690001
4440,4497,4471,,,118.751056271,30.9209090950001,118.764629799,30.926687842
4471,4496,4493,4440.0,,118.733407433,30.9240550690001,118.729294252,30.9269730350001
4471,4440,4496,4493.0,,118.733407433,30.9240550690001,118.751056271,30.9209090950001
4471,4493,4496,4440.0,,118.733407433,30.9240550690001,118.736351565,30.9267130750001
4493,4471,4521,4562.0,,118.736351565,30.9267130750001,118.733407433,30.9240550690001
4493,4562,4521,4471.0,,118.736351565,30.9267130750001,118.744551331,30.9331701630001
4493,4521,4471,4562.0,,118.736351565,30.9267130750001,118.736583455,30.930185931
4496,4518,4471,4539.0,,118.729294252,30.9269730350001,118.725067125,30.9299801010001
4496,4471,4518,4539.0,,118.729294252,30.9269730350001,118.733407433,30.9240550690001
4496,4539,4471,4518.0,,118.729294252,30.9269730350001,118.732547421,30.932228223
4497,4440,4526,4536.0,,118.764629799,30.926687842,118.751056271,30.9209090950001
4497,4526,4536,4440.0,,118.764629799,30.926687842,118.773466815,30.928929752
4497,4536,4526,4440.0,,118.764629799,30.926687842,118.757300215,30.931603098
4518,4556,4496,4565.0,,118.725067125,30.9299801010001,118.720366092,30.9333274580001
4518,4496,4565,4556.0,,118.725067125,30.9299801010001,118.729294252,30.9269730350001
4518,4565,4556,4496.0,,118.725067125,30.9299801010001,118.728212366,30.9343747550001
4521,4493,4539,4605.0,,118.736583455,30.930185931,118.736351565,30.9267130750001
4521,4539,4493,4605.0,,118.736583455,30.930185931,118.732547421,30.932228223
4521,4605,4493,4539.0,,118.736583455,30.930185931,118.736906635,30.936118166
4526,4554,4497,9001.0,,118.773466815,30.928929752,118.768301862,30.9326119150001
4526,4497,9001,4554.0,,118.773466815,30.928929752,118.764629799,30.926687842
4526,9001,4554,4497.0,,118.773466815,30.928929752,118.778407789,30.930601649
4536,4554,4635,4497.0,4562.0,118.757300215,30.931603098,118.768301862,30.9326119150001
